199,Lance Stephenson,SF,25,TOT,0.481,0.385,0.5,0.784,0.6,2.7,1.9,0.6,0.1,1.4,8.3
200,Jusuf Nurkic,C,21,DEN,0.417,0,0.423,0.616,2,3.4,1.3,0.8,1.4,1.7,8.2
201,Lance Thomas,PF,27,NYK,0.442,0.404,0.458,0.857,0.6,1.6,0.9,0.4,0.1,1,8.2
202,Mo Williams,PG,33,CLE,0.437,0.353,0.48,0.905,0.1,1.6,2.4,0.3,0.1,1.4,8.2
203,Stanley Johnson,SF,19,DET,0.375,0.307,0.41,0.784,0.8,3.4,1.6,0.8,0.2,1.6,8.1
204,Steven Adams,C,22,OKC,0.613,,0.613,0.582,2.7,3.9,0.8,0.5,1.1,1.1,8
205,P.J. Tucker,SF,30,PHO,0.411,0.33,0.455,0.746,2,4.2,2.2,1.3,0.2,1.4,8
206,Jared Dudley,PF,30,WAS,0.478,0.42,0.534,0.735,0.7,2.9,2.1,0.9,0.2,1,7.9
207,Joffrey Lauvergne,C,24,DEN,0.513,0.245,0.557,0.899,1.3,3.6,0.9,0.2,0.3,0.9,7.9
208,David Lee,PF,32,TOT,0.531,0,0.533,0.763,1.8,3.7,1.5,0.4,0.5,1.2,7.8
209,O.J. Mayo,SG,28,MIL,0.371,0.321,0.421,0.775,0.3,2.2,2.9,1.2,0.2,1.8,7.8
210,Ben McLemore,SG,22,SAC,0.429,0.362,0.474,0.718,0.5,1.7,1.2,0.8,0.1,1.5,7.8
211,Tristan Thompson,PF,24,CLE,0.588,,0.588,0.616,3.3,5.7,0.8,0.5,0.6,0.7,7.8
212,Wayne Ellington,SG,28,BRK,0.389,0.358,0.416,0.857,0.3,2,1.1,0.6,0.1,0.6,7.7
213,Jameer Nelson,PG,33,DEN,0.368,0.299,0.429,0.857,0.5,2.5,4.9,0.6,0.1,1.7,7.7
214,Jose Calderon,PG,34,NYK,0.459,0.414,0.496,0.875,0.3,2.9,4.2,0.9,0.1,1.2,7.6
215,Langston Galloway,PG,24,NYK,0.393,0.344,0.423,0.754,0.5,3,2.5,0.9,0.3,0.7,7.6
216,Devin Harris,PG,32,DAL,0.447,0.329,0.532,0.721,0.3,1.9,1.8,0.9,0.2,1,7.6
217,Darrell Arthur,PF,27,DEN,0.452,0.385,0.473,0.755,1.2,3,1.4,0.8,0.7,0.9,7.5
218,D.J. Augustin,PG,28,TOT,0.423,0.405,0.44,0.805,0.1,1.4,3.2,0.6,0.1,1.4,7.5
219,Matthew Dellavedova,PG,25,CLE,0.405,0.41,0.401,0.864,0.4,1.7,4.4,0.6,0.1,1.5,7.5
220,Frank Kaminsky,C,22,CHO,0.41,0.337,0.455,0.73,0.9,3.3,1.2,0.5,0.5,0.7,7.5
